time	Ix(U40:VDD)
1.000712837837600e-004	-6.061490e-004
1.000756108639791e-004	-6.084194e-004
1.000793628510842e-004	-6.118917e-004
1.000835153131102e-004	-6.169098e-004
1.000874052716858e-004	-6.221710e-004
1.000922200828489e-004	-6.288600e-004
1.001000000000000e-004	-6.394804e-004
1.001007779917151e-004	-6.381991e-004
1.001023339751453e-004	-6.363365e-004
1.001054459420058e-004	-6.338084e-004
1.001116698757266e-004	-6.293202e-004
1.001175490753326e-004	-6.253087e-004
1.001293074745445e-004	-6.184999e-004
1.001353321713323e-004	-6.162383e-004
1.001399086026708e-004	-6.155809e-004
1.001456146069989e-004	-6.153977e-004
1.001496337716175e-004	-6.153751e-004
1.001618529029641e-004	-6.153748e-004
1.001768363021523e-004	-6.153744e-004
1.001868028372567e-004	-6.153740e-004
1.002000000000000e-004	-6.153710e-004
1.002004966774318e-004	-6.153615e-004
1.002014900322955e-004	-6.153547e-004
1.002034767420228e-004	-6.153525e-004
1.050335896236063e-004	-6.153522e-004
1.051000000000000e-004	-6.153526e-004
1.051007587015651e-004	-6.146191e-004
1.051022761046952e-004	-6.132590e-004
1.051053109109554e-004	-6.107592e-004
1.051113805234759e-004	-6.063425e-004
1.051235197485168e-004	-5.998087e-004
1.051290523119667e-004	-5.985180e-004
1.051354581554927e-004	-5.983493e-004
1.051395269861415e-004	-5.983440e-004
1.051443115018000e-004	-5.983544e-004
1.051538805331170e-004	-5.983495e-004
1.051730185957510e-004	-5.983498e-004
1.051849808386073e-004	-5.983494e-004
1.052000000000000e-004	-5.983534e-004
1.052005031478794e-004	-5.983399e-004
1.052015094436380e-004	-5.983318e-004
1.052035220351554e-004	-5.983310e-004
1.099000000000000e-004	-5.983312e-004
1.100000000000000e-004	-5.983314e-004
1.100004850169404e-004	-5.983212e-004
1.100014550508211e-004	-5.983149e-004
1.100033951185825e-004	-5.983133e-004
1.100072752541054e-004	-5.983128e-004
1.100150355251512e-004	-5.983126e-004
1.100266532979284e-004	-5.983123e-004
1.100399540087429e-004	-5.983120e-004
1.100595099460542e-004	-5.983116e-004
1.100677785593509e-004	-5.983112e-004
1.100730675293488e-004	-5.985803e-004
1.100779881373964e-004	-5.997798e-004
1.100827567876877e-004	-6.022187e-004
1.100866835596765e-004	-6.049786e-004
1.100913632378673e-004	-6.086798e-004
1.101000000000000e-004	-6.157210e-004
1.101008636762133e-004	-6.145845e-004
1.101025910286398e-004	-6.127032e-004
1.101060457334929e-004	-6.096098e-004
1.101129551431991e-004	-6.038233e-004
1.101212720859887e-004	-5.973123e-004
1.101264633316534e-004	-5.939401e-004
1.101309665103624e-004	-5.919276e-004
1.101347042273862e-004	-5.911123e-004
1.101389104896923e-004	-5.908555e-004
1.101429370424543e-004	-5.907975e-004
1.101466794543142e-004	-5.907884e-004
